id,Total_Cell_Count,Proliferative_Cell_Count,Proliferative_Cell_Percentage
hsa-miR-1243,497.5,19.5,3.91959799
hsa-miR-124-5p,499,7.5,1.503006012
hsa-miR-124-3p,340.5,2,0.587371512
hsa-miR-1238-5p,786,266.5,33.90585242
hsa-miR-1238-3p,442,30,6.787330317
hsa-miR-1237-5p,664,288.5,43.44879518
hsa-miR-1237-3p,674.5,195,28.91030393
hsa-miR-1236-5p,569.5,167,29.32396839
hsa-miR-1236-3p,557.5,69,12.37668161
hsa-miR-1234-5p,881.5,418.5,47.47589336
hsa-miR-1234-3p,605.5,106.5,17.58876961
hsa-miR-1233-3p,701.5,111,15.82323592
hsa-miR-1233-1-5p,597.5,15,2.510460251
hsa-miR-1231,546.5,66.5,12.16834401
hsa-miR-1229-5p,713,184.5,25.87657784
hsa-miR-1229-3p,702.5,199,28.32740214
hsa-miR-1228-5p,732.5,207.5,28.32764505
hsa-miR-1228-3p,605.5,115.5,19.07514451
hsa-miR-1227-5p,769,324,42.13263979
hsa-miR-1227-3p,1012.5,364.5,36
hsa-miR-1226-5p,709.5,185,26.07470049
hsa-miR-1226-3p,793,170.5,21.50063052
hsa-miR-1225-5p,829.5,363,43.76130199
hsa-miR-1225-3p,812,229.5,28.2635468
hsa-miR-1224-5p,689,108,15.67489115
hsa-miR-1224-3p,925,495.5,53.56756757
hsa-miR-122-5p,586.5,74,12.6172208
hsa-miR-122-3p,590,140.5,23.81355932
hsa-miR-1208,610.5,28,4.586404586
hsa-miR-1207-5p,593.5,52.5,8.845829823
hsa-miR-1207-3p,422,2,0.473933649
hsa-miR-1206,639,99,15.49295775
hsa-miR-1205,454.5,1.5,0.330033003
hsa-miR-1204,530.5,4.5,0.848256362
hsa-miR-1203,581,104.5,17.98623064
hsa-miR-1202,763.5,225,29.46954813
hsa-miR-1201  Not in mirbase v21.0,NA,NA,NA
hsa-miR-1200,401.5,1.5,0.373599004
hsa-miR-1197,784,131,16.70918367
hsa-miR-1193,465,17,3.655913978
hsa-miR-1185-5p,638.5,192.5,30.14878622
hsa-miR-1185-2-3p,555.5,59,10.62106211
hsa-miR-1185-1-3p,509.5,73,14.32777233
hsa-miR-1184,535,71,13.27102804
hsa-miR-1183,528,70.5,13.35227273
hsa-miR-1182,635,175,27.55905512
hsa-miR-1181,804.5,286,35.55003108
hsa-miR-1180,424.5,4.5,1.060070671
hsa-miR-1179,532,69,12.96992481
hsa-miR-1178-5p,644,131.5,20.41925466
hsa-miR-1178-3p,544,19.5,3.584558824
hsa-miR-10b-5p,543.5,64,11.77552898
