ID,Total_Cell_Count,MCavg_Norm_Cell_Count,MCavg_Norm_Proliferative,Categories
hsa-miR-499a-5p,496.5,0.949652328,0.082895589,Anti
hsa-miR-31-5p,509.5,0.974517344,0.082895589,Anti
hsa-miR-2116-5p,510,0.97547369,0.082895589,Anti
hsa-miR-585,514,0.983124465,0.082895589,Anti
hsa-miR-510-5p,525,1.004164093,0.082895589,Anti
hsa-miR-2114-5p,557,1.065370285,0.082895589,Anti
hsa-miR-3126-3p,355.5,0.679962543,0.089803555,Anti
hsa-miR-4790-3p,388.5,0.743081429,0.089803555,Anti
hsa-miR-4711-5p,392.5,0.750732203,0.089803555,Anti
hsa-miR-378g,411.5,0.78707338,0.089803555,Anti
hsa-miR-4709-3p,425,0.812894742,0.089803555,Anti
hsa-miR-4717-5p,427.5,0.817676476,0.089803555,Anti
hsa-miR-648,430.5,0.823414556,0.089803555,Anti
hsa-miR-3622b-5p,440.5,0.842541491,0.089803555,Anti
hsa-miR-4256,444,0.849235919,0.089803555,Anti
hsa-miR-3907,446,0.853061306,0.089803555,Anti
hsa-miR-499a-3p,477.5,0.913311151,0.089803555,Anti
hsa-miR-1469,481,0.920005579,0.089803555,Anti
hsa-miR-4686,482.5,0.922874619,0.089803555,Anti
hsa-miR-5092,484.5,0.926700006,0.089803555,Anti
hsa-miR-552,506.5,0.968779263,0.089803555,Anti
hsa-miR-4655-5p,516,0.986949852,0.089803555,Anti
hsa-miR-3074-3p,524,1.0022514,0.089803555,Anti
hsa-miR-3180-3p,529,1.011814867,0.089803555,Anti
hsa-miR-494,533,1.019465641,0.089803555,Anti
hsa-miR-3181,537.5,1.028072762,0.089803555,Anti
hsa-miR-4441,345,0.659879261,0.09671152,Anti
hsa-miR-212-5p,351.5,0.672311769,0.09671152,Anti
hsa-miR-376a-5p,371.5,0.710565639,0.09671152,Anti
hsa-miR-409-5p,381.5,0.729692574,0.09671152,Anti
hsa-miR-4740-5p,391,0.747863163,0.09671152,Anti
hsa-miR-503-5p,393.5,0.752644896,0.09671152,Anti
hsa-miR-518c-3p,397.5,0.760295671,0.09671152,Anti
hsa-miR-500a-3p,399,0.763164711,0.09671152,Anti
hsa-miR-106a-3p,423,0.809069355,0.09671152,Anti
hsa-miR-15a-3p,432.5,0.827239943,0.09671152,Anti
hsa-miR-374b-3p,435.5,0.832978024,0.09671152,Anti
hsa-miR-206,436,0.833934371,0.09671152,Anti
hsa-miR-3177-3p,438,0.837759758,0.09671152,Anti
hsa-miR-4672,442.5,0.846366879,0.09671152,Anti
hsa-miR-1269b,446,0.853061306,0.09671152,Anti
hsa-miR-219-2-3p,449,0.858799386,0.09671152,Anti
hsa-miR-507,450.5,0.861668427,0.09671152,Anti
hsa-miR-4455,463.5,0.886533442,0.09671152,Anti
hsa-miR-4693-3p,464.5,0.888446136,0.09671152,Anti
hsa-miR-4680-5p,466,0.891315176,0.09671152,Anti
hsa-miR-4635,466.5,0.892271523,0.09671152,Anti
hsa-miR-766-3p,469.5,0.898009603,0.09671152,Anti
hsa-miR-367-5p,475.5,0.909485764,0.09671152,Anti
hsa-miR-25-5p,476.5,0.911398458,0.09671152,Anti
hsa-miR-744-3p,558.5,1.068239326,0.09671152,Anti
hsa-miR-431-5p,561,1.07302106,0.09671152,Anti
hsa-miR-4296,634.5,1.213604033,0.09671152,Anti
hsa-miR-4524b-3p,377,0.721085454,0.103619486,Anti
hsa-miR-4782-5p,384.5,0.735430655,0.103619486,Anti
hsa-miR-2278,401,0.766990098,0.103619486,Anti
hsa-miR-4633-5p,421,0.805243968,0.103619486,Anti
hsa-miR-548ay-3p,424,0.810982049,0.103619486,Anti
hsa-miR-5585-5p,436.5,0.834890717,0.103619486,Anti
hsa-miR-24-3p,464.5,0.888446136,0.103619486,Anti
hsa-miR-4721,464.5,0.888446136,0.103619486,Anti
hsa-miR-6133,465.5,0.890358829,0.103619486,Anti
hsa-miR-3188,469,0.897053257,0.103619486,Anti
hsa-miR-4664-3p,471,0.900878644,0.103619486,Anti
hsa-miR-1271-5p,493.5,0.943914248,0.103619486,Anti
hsa-miR-124-5p,499,0.954434062,0.103619486,Anti
hsa-miR-612,507.5,0.970691957,0.103619486,Anti
hsa-miR-4804-3p,512,0.979299078,0.103619486,Anti
hsa-miR-4792,517.5,0.989818892,0.103619486,Anti
hsa-miR-3144-3p,538.5,1.029985456,0.103619486,Anti
hsa-miR-1295b-3p,279.5,0.534597836,0.110527452,Toxic
hsa-miR-3620-5p,345.5,0.660835608,0.110527452,Anti
hsa-miR-513c-3p,373,0.71343468,0.110527452,Anti
hsa-miR-6079,402.5,0.769859138,0.110527452,Anti
hsa-miR-548aw,428.5,0.819589169,0.110527452,Anti
hsa-miR-4662a-5p,437.5,0.836803411,0.110527452,Anti
hsa-miR-1915-5p,441.5,0.844454185,0.110527452,Anti
hsa-miR-3168,453,0.86645016,0.110527452,Anti
hsa-miR-6501-5p,462,0.883664402,0.110527452,Anti
hsa-miR-3922-5p,477.5,0.913311151,0.110527452,Anti
hsa-miR-26b-3p,493,0.942957901,0.110527452,Anti
hsa-miR-1912,501.5,0.959215796,0.110527452,Anti
hsa-miR-764,528,1.009902174,0.110527452,Anti
hsa-miR-567,532,1.017552948,0.110527452,Anti
hsa-miR-541-3p,543,1.038592576,0.110527452,Anti
hsa-miR-935,550,1.051981431,0.110527452,Anti
hsa-miR-6081,341,0.652228487,0.117435418,Anti
hsa-miR-4437,400,0.765077404,0.117435418,Anti
hsa-miR-3191-5p,402,0.768902791,0.117435418,Anti
hsa-miR-3116,414,0.791855113,0.117435418,Anti
hsa-miR-5683,428,0.818632823,0.117435418,Anti
hsa-miR-618,429,0.820545516,0.117435418,Anti
hsa-miR-4267,442,0.845410532,0.117435418,Anti
hsa-miR-6715a-3p,455,0.870275547,0.117435418,Anti
hsa-miR-556-3p,472.5,0.903747684,0.117435418,Anti
hsa-miR-1269a,484.5,0.926700006,0.117435418,Anti
hsa-miR-1307-3p,514,0.983124465,0.117435418,Anti
hsa-miR-6134,514,0.983124465,0.117435418,Anti
hsa-miR-4786-3p,520,0.994600626,0.117435418,Anti
hsa-miR-3074-5p,287,0.548943038,0.124343383,Toxic
hsa-miR-4283,329,0.629276165,0.124343383,Toxic
hsa-miR-4505,361,0.690482357,0.124343383,Anti
hsa-miR-3977,406,0.776553565,0.124343383,Anti
hsa-miR-376a-3p,461,0.881751708,0.124343383,Anti
hsa-miR-664a-5p,492,0.941045207,0.124343383,Anti
hsa-miR-3650,539.5,1.031898149,0.124343383,Anti
hsa-miR-3617-3p,546,1.044330657,0.124343383,Anti
hsa-miR-4510,546,1.044330657,0.124343383,Anti
hsa-miR-3165,412,0.788029726,0.131251349,Anti
hsa-miR-518f-3p,418,0.799505887,0.131251349,Anti
hsa-miR-374c-3p,431.5,0.82532725,0.131251349,Anti
hsa-miR-891b,448.5,0.85784304,0.131251349,Anti
